,just,type,end,start,collumnname,tablename,filename
1,L , A,12,1, RECORD IDENTIFIER  ,ARB,ARB.txt
2,L , A,52,13, CENTER NAME  ,ARB,
3,L , A,62,53, ALTITUDE STRUCTURE DECODE NAME  ,ARB,
4,L , A,76,63, LATITUDE OF THE BOUNDARY POINT  ,ARB,
5,L , A,90,77, LONGITUDE OF THE BOUNDARY POINT  ,ARB,
6,L , A,390,91, DESCRIPTION OF BOUNDARY LINE CONNECTING POINTS  ,ARB,
7,L , A,396,391, SIX DIGIT NUMBER USED TO MAINTAIN PROPER SEQUENCE  ,ARB,
8,L , A,397,397, AN 'X' IN THIS FIELD INDICATES THIS POINT IS USED  ,ARB,
